dx,opname,optype,approach,position,count
Gallbladder stonewithout obstruction,Cholecystectomy,Biliary/Pancreas,Videoscopic,Reverse Trendelenburg,1
Colorectal cancer,Extended hemicolectomy,Colorectal,Videoscopic,Supine,1
Solitary pulmonary nodule ,Lung sgmentectomy,Minor resection,Videoscopic,Right lateral decubitus,1
Ileus,Exploratory laparotomy,Others,Open,Lithotomy,1
End stage renal disease,Endovascular aneurysmal repair,Vascular,Open,Supine,1
Unclassified epithelial ovarian cancer unspecified side,Ileostomy,Colorectal,Open,Lithotomy,1
Hepatocellular carcinoma,Gastrostomy,Stomach,Open,Supine,1
Acute myeloid leukemia,Incision and drainage,Colorectal,Open,Prone,1
Lipoma ,Excision,Others,Open,Supine,1
Crohn's disease unspecified,Small bowel segmental resection,Stomach,Videoscopic,Lithotomy,1
Osteosarcoma of bone of limb,Closure of wound,Others,Open,Right lateral decubitus,1
Gastrointestinal stromal tumor ,Gastric wedge resection,Stomach,Videoscopic,Supine,1
Malignant peripheral nerve sheath tumor,Excision,Others,Videoscopic,Right lateral decubitus,1
"Colon cancer, sigmoid",Adhesiolysis,Others,Open,Supine,1
Benign neoplasm of carotid body,Endarterectomy,Vascular,Open,Supine,1
Lung cancer right,Metastasectomy,Minor resection,Videoscopic,Left lateral decubitus,1
"Colon cancer, rectosigmoid",Low anterior resection,Colorectal,Open,Sitting,1
Kidney transplant status ,Closure of wound,Others,Open,Supine,1
Xanthogranulomatous cholecystitis ,Cholecystectomy,Biliary/Pancreas,Videoscopic,Supine,1
"Intraductal papillary mucinous neoplasm of pancreas, high grade dysplasia",Distal pancreatectomy,Biliary/Pancreas,Open,Supine,1
"Neoplasm of appendix, uncertain behavior",Ileocecectomy,Colorectal,Videoscopic,Lithotomy,1
Adenocarcinoma of lung,Lung lobectomy,Major resection,Videoscopic,Right lateral decubitus,1
Intraductal papilloma of breast unspecified side,Wide excision,Others,Open,Supine,1
"Colon cancer, descending",subtotal colectomy,Colorectal,Open,Supine,1
Neurofibroma,Excision,Others,Videoscopic,Left lateral decubitus,1
Pancreatic disease,Central pancreatectomy,Biliary/Pancreas,Open,Supine,1
Squamous cell carcinoma of lung right,Lung bilobectomy,Major resection,Open,Left lateral decubitus,1
Hydronephrosis with ureteropelvic junction obstruction,Pyeloplasty,Minor resection,Robotic,Left lateral decubitus,1
"Intraductal papillary mucinous neoplasm of pancreas, benign",Pylorus preserving pancreaticoduodenectomy,Biliary/Pancreas,Robotic,Supine,1
Constrictive pericarditis,Pericardial window operation,Others,Open,Supine,1
Rectal cancer,Lung wedge resection,Minor resection,Videoscopic,Left lateral decubitus,1
"Aneurysm, abdominal aorta",Hernia repair,Colorectal,Open,Supine,1
Gallbladder cancer ,Exploratory laparotomy,Others,Open,Supine,1
Advanced gastric cancer ,Remnant total gastrectomy,Stomach,Open,Supine,1
Ductal carcinoma in situ of breast unspecified side,Wide excision,Others,Open,Supine,1
Diverticulosis of large intestine with perforation and abscess without bleeding,Hartmann procedure,Colorectal,Open,Lithotomy,1
Adenocarcinoma of bladder,Partial cystectomy,Major resection,Robotic,Lithotomy,1
Ground-glass opacity,Lung wedge resection,Minor resection,Videoscopic,Supine,1
Ground glass opacity ,Lung wedge resection,Minor resection,Videoscopic,Supine,1
Stomach cancer unspecified,Total gastrectomy,Stomach,Videoscopic,Supine,1
"Arteriovenous fistula, traumatic",Arteriovenous graft,Vascular,Open,Supine,1
"Colon cancer, ascending",Hemicolectomy,Colorectal,Open,Trendelenburg,1
Intussusception,Ileocecectomy,Colorectal,Videoscopic,Supine,1
Rectal cancer,Transanal endoscopic microsurgery,Colorectal,Open,Left lateral decubitus,1
sigmoid colon cancer,Lung lobectomy,Major resection,Videoscopic,Right lateral decubitus,1
"Colon cancer, sigmoid",Hemicolectomy,Colorectal,Open,Lithotomy,1
chronic renal failure,Kidney transplantation,Transplantation,Open,Supine,1
Carcinoid tumor of bronchus unspecified side,Rigid bronchoscopic excision,Others,Videoscopic,Supine,1
Symptomatic gallbladder stone without obstruction,Cholecystectomy,Biliary/Pancreas,Videoscopic,Lithotomy,1
Twin pregnancy,McDonald operation,Others,Open,Lithotomy,1
Hepatocellular adenoma ,Liver sectionectomy,Hepatic,Videoscopic,Supine,1
"Gastrointestinal stromal tumor of rectum, malignant",Transanal endoscopic microsurgery,Colorectal,Open,Prone,1
Epithelial ovarian cancer unknown stage unspecified side,Debulking surgery,Major resection,Open,Supine,1
Ventral hernia,Hernia repair,Colorectal,Open,Supine,1
Autosomal dominant polycystic kidney disease,Liver transplantation,Transplantation,Open,Supine,1
Crohn's disease moderate,Fistulectomy,Colorectal,Open,Prone,1
"Colon cancer, descending",Hemicolectomy,Colorectal,Videoscopic,Supine,1
Cecal cancer ,Debulking surgery,Others,Open,Supine,1
Anal fistula ,Fistulectomy,Colorectal,Open,Lithotomy,1
Colon cancer,Hemicolectomy,Colorectal,Open,Reverse Trendelenburg,1
Atherosclerosis obliterans without gangrene,Embolectomy,Vascular,Open,Supine,1
Esophageal cancer,Radical excision of cervical lymph nodes,Others,Open,Supine,1
thyroid nodule ,Excision,Others,Open,Supine,1
Inguinal hernia not specified as recurrent,Hernia repair,Colorectal,Open,Trendelenburg,1
Hemoperitoneum ,Exploratory laparotomy,Others,Open,Supine,1
Malignant neoplasm of ileocecal valve,Hemicolectomy,Colorectal,Open,Supine,1
Ovarian cancer ,Ileostomy repair,Colorectal,Open,Supine,1
fulminant hepatitis,Liver transplantation,Transplantation,Open,Supine,1
Peritonei carcinomatosis ,Biopsy,Others,Open,Supine,1
"Gastric submucosal tumor, unknown behavior",Lung wedge resection,Stomach,Open,Supine,1
Pancreatic disease ,Pancreaticoduodenectomy,Biliary/Pancreas,Open,Supine,1
Colorectal polyp,Hemicolectomy,Colorectal,Open,Lithotomy,1
Intestinal perforation,Anterior resection,Colorectal,Open,Lithotomy,1
Cervical cancer unknown stage,Colostomy,Colorectal,Open,Supine,1
"Colon cancer, sigmoid",Anterior resection,Colorectal,Videoscopic,Left lateral decubitus,1
Malignant thymoma ,Thymectomy,Others,Open,Supine,1
Lung cancer right,Lung sgmentectomy,Minor resection,Videoscopic,Right lateral decubitus,1
Colon cancer,Hartmann procedure,Colorectal,Open,Supine,1
Breast cancer left,Breast-conserving surgery,Breast,Open,Right lateral decubitus,1
Obesity in diabetes,Subtotal gastrectomy,Stomach,Open,Supine,1
Perianal abscess ,Incision and drainage,Colorectal,Open,Lithotomy,1
"Endometrial cancer, stage 1A",Pelvic tumorectomy,Major resection,Robotic,Lithotomy,1
Lymphoproliferative disorder ,Axillary lymph node dissection,Breast,Open,Supine,1
Lung cancer unspecified side,Lung wedge resection,Minor resection,Videoscopic,Left lateral decubitus,1
Colon cancer,Exploratory laparotomy,Others,Open,Lithotomy,1
Choledochal cyst,Liver transplantation,Transplantation,Open,Supine,1
Intestinal fistula,Exploratory laparotomy,Others,Open,Supine,1
End stage renal disease,Bleeding control,Vascular,Open,Supine,1
Pancreatic ductal carcinoma,Distal pancreatectomy,Biliary/Pancreas,Open,Supine,1
Rectal cancer ,Hartmann procedure,Colorectal,Open,Lithotomy,1
Pelvic mass,Excision,Minor resection,Videoscopic,Lithotomy,1
Metastatic cancer to the lung right,Lung lobectomy,Major resection,Videoscopic,Left lateral decubitus,1
Osteoarthritis multiple site,Ileostomy repair,Colorectal,Open,Supine,1
"Neuroendocrine tumor of rectum, G1",Exploratory laparotomy,Others,Open,Lithotomy,1
Common bile duct stonewithout obstruction,Choledochoscopic bile duct stone removal,Biliary/Pancreas,Videoscopic,Supine,1
Giant bullae of lung,Lung wedge resection,Minor resection,Videoscopic,Left lateral decubitus,1
Gallbladder stonewithout obstruction,Choledochoscopic bile duct stone removal,Biliary/Pancreas,Videoscopic,Supine,1
"Colon cancer, rectosigmoid",Hartmann procedure,Colorectal,Open,Supine,1
"Colon cancer, sigmoid",subtotal colectomy,Colorectal,Open,Supine,1
Rectovaginal fistula,Ileostomy,Colorectal,Open,Supine,1
Abdominal compartment syndrome,Exploratory laparotomy,Others,Open,Supine,1
Malignant neoplasm of unknown primary site,Excision,Others,Videoscopic,Left lateral decubitus,1
Thyroid nodule ,Modified radical neck dissection,Others,Open,Supine,1
Colorectal cancer ,Metastasectomy,Minor resection,Videoscopic,Left lateral decubitus,1
Abscess of other site ,Incision and drainage,Others,Open,Supine,1
Hepatocellular carcinoma ,Hernia repair,Colorectal,Open,Supine,1
Solitary pulmonary nodule,Biopsy,Minor resection,Videoscopic,Right lateral decubitus,1
Constipation,Anterior resection,Colorectal,Videoscopic,Lithotomy,1
Acute appendicitis ,Appendectomy,Colorectal,Videoscopic,Trendelenburg,1
Coronary atherosclerosis,Excision,Others,Open,Supine,1
Injury of bile duct without open wound into peritoneal cavity,Bile duct anastomosis,Biliary/Pancreas,Open,Supine,1
Stomach cancer early,Incisional hernia repair,Colorectal,Videoscopic,Supine,1
Infiltrating ductal carcinoma of breast right,Metastasectomy,Minor resection,Videoscopic,Left lateral decubitus,1
Gallbladder cancer ,Radical cholecystectomy,Biliary/Pancreas,Open,Supine,1
Lymphoma ,Exploration of wound,Others,Open,Supine,1
"Embolism and thrombosis, femoral artery",Arteriovenous fistula thrombectomy,Vascular,Open,Supine,1
Pneumothorax ,Bullectomy,Minor resection,Videoscopic,Right lateral decubitus,1
Early gastric cancer,Proximal gastrectomy,Stomach,Videoscopic,Reverse Trendelenburg,1
Early gastric cancer,Removal of foreign body,Others,Videoscopic,Supine,1
Cutaneous abscess of inguinal,Removal of foreign body,Others,Open,Supine,1
"Neuroendocrine tumor of rectum, G1",Transanal excision,Colorectal,Open,Lithotomy,1
Hirschsprung's disease,Ileostomy repair,Colorectal,Open,Supine,1
"Malignant neoplasm of colon, descending",Hemicolectomy,Colorectal,Open,Lithotomy,1
"Colon cancer, sigmoid",Excision,Others,Open,Lithotomy,1
Myoma uteri,Myomectomy,Minor resection,Open,Supine,1
Infiltrating ductal carcinoma of breast left,Lung wedge resection,Minor resection,Videoscopic,Left lateral decubitus,1
Metastatic sarcoma to the lung unspecified side,Metastasectomy,Minor resection,Videoscopic,Left lateral decubitus,1
"Gastrointestinal stromal tumor of stomach, malignant unspecified",Lung wedge resection,Stomach,Open,Supine,1
"Atypical lobular hyperplasia, breast",Excision,Breast,Open,Supine,1
Atherosclerosis obliterans without gangrene,Femoro-femoral bypass,Vascular,Open,Supine,1
"Abnormal chest CT, lung",Metastasectomy,Minor resection,Open,Right lateral decubitus,1
"Cervical intraepithelial neoplasia, grade",Total hysterectomy,Major resection,Robotic,Lithotomy,1
Infected aneurysm,Vessel graft,Vascular,Open,Supine,1
Intraductal carcinoma in situ of breast right,Simple mastectomy,Breast,Open,Supine,1
Rectal cancer,Hernia repair,Colorectal,Open,Lithotomy,1
Superior mesenteric artery syndrome ,Exploratory laparotomy,Others,Open,Supine,1
Bladder disease,Transurethral resection of bladder tumor,Others,Videoscopic,Lithotomy,1
abdominal aortic aneurysm without mention of rupture ,Incisional hernia repair,Colorectal,Open,Supine,1
Duodenal polyp ,Excision,Stomach,Open,Supine,1
Angina pectoris,Lung wedge resection,Minor resection,Videoscopic,Right lateral decubitus,1
Cervical cancer unknown stage ,Radical trachelectomy,Major resection,Open,Supine,1
End stage renal disease,Insertion of permanent catheter,Vascular,Open,Supine,1
thyroid nodule ,Total thyroidectomy,Thyroid,Robotic,Supine,1
Colonic polyp ,Extended hemicolectomy,Colorectal,Open,Supine,1
hepatocellular carcinoma,Metastasectomy,Minor resection,Open,Left lateral decubitus,1
"Colon submucosal tumor, benign",Ileocecectomy,Colorectal,Videoscopic,Lithotomy,1
Atherosclerosis obliterans without gangrene,Closure of wound,Others,Open,Supine,1
Biliary atresia ,Exploratory laparotomy,Others,Open,Supine,1
Destroyed lung by tuberculosis ,Pneumonectomy,Major resection,Open,Right lateral decubitus,1
"Colon cancer, sigmoid",Extended hemicolectomy,Colorectal,Open,Supine,1
End stage renal disease,Arteriovenous graft,Vascular,Open,Supine,1
renal cell carcinoma Left,Distal pancreatectomy,Biliary/Pancreas,Open,Right lateral decubitus,1
Malignant neoplasm of oral cavity,Lung sgmentectomy,Minor resection,Videoscopic,Right lateral decubitus,1
"Esophageal submucosal tumor, benign",Enucleation of esophageal tumor,Others,Robotic,Left lateral decubitus,1
Umbilical hernia ,Incisional hernia repair,Colorectal,Open,Supine,1
Bilateral inguinal hernianot specified as recurrent,Hernia repair,Colorectal,Videoscopic,Supine,1
sigmoid colon cancer ,Exploratory laparotomy,Others,Open,Supine,1
Breast cancer left,Mastectomy,Breast,Open,Supine,1
Lung cancer left,Lung lobectomy,Major resection,Open,Supine,1
"Colon cancer, rectosigmoid",Metastasectomy,Minor resection,Videoscopic,Left lateral decubitus,1
Bladder cancer ,Exploratory laparotomy,Others,Open,Lithotomy,1
Esophageal cancer,Cervical esophagostomy,Others,Open,Supine,1
Bladder cancer,Incisional hernia repair,Colorectal,Open,Supine,1
Thyroglossal duct cyst,Thyroglossal duct cyst excision,Others,Robotic,Supine,1
Testicular disease ,Orchiectomy,Minor resection,Open,Supine,1
hepatitis b related liver cirrhosis ,Liver segmentectomy,Hepatic,Open,Lithotomy,1
Fungus ball,Lung lobectomy,Major resection,Videoscopic,Left lateral decubitus,1
Empyema with bronchopleural fistula ,Closure of bronchopleural fistula,Others,Open,Supine,1
"Serous cystic tumor of pancreas, malignant",Exploratory laparotomy,Others,Open,Supine,1
Endometrial cancer unknown stage,Salpingo-oophorectomy,Minor resection,Videoscopic,Lithotomy,1
Lung cancer right,Lung bilobectomy,Major resection,Open,Left lateral decubitus,1
rectal cancer,Colostomy,Colorectal,Open,Supine,1
"Aneurysm, iliac artery",Aortoiliac bypass,Vascular,Open,Supine,1
"Atrial septal defect, secundum",Debridement of wound,Others,Open,Supine,1
Gastric perforation,Exploratory laparotomy,Others,Open,Supine,1
papillary thyroid carcinoma,Completion thyroidectomy,Thyroid,Open,Supine,1
Adenocarcinoma of lung unspecified side,Lung lobectomy,Major resection,Videoscopic,Left lateral decubitus,1
Stomach cancer unspecified,Pylorus preserving gastrectomy,Stomach,Videoscopic,Supine,1
Umbilical hernia,Fundoplication,Stomach,Videoscopic,Supine,1
Ascites,Excision,Others,Open,Supine,1
"Colon cancer, ascending",Hemicolectomy,Colorectal,Open,Lithotomy,1
Adrenal Cushing syndrome ,Adrenalectomy,Others,Videoscopic,Right lateral decubitus,1
Abnormal electrocardiogram,Excision,Others,Open,Supine,1
Renal cell carcinoma left,Nephrectomy,Major resection,Robotic,Right lateral decubitus,1
"Aneurysm, iliac artery",Endovascular aneurysmal repair,Vascular,Open,Supine,1
Pancreatic disease ,Pancreas transplantation,Transplantation,Open,Supine,1
Abscess of lung with pneumonia ,Debridement of wound,Others,Open,Supine,1
Unclassified uterine cancer,Total hysterectomy,Major resection,Robotic,Lithotomy,1
hepatocellular carcinoma ,Exploratory laparotomy,Others,Open,Supine,1
Cholangitis,Exploratory laparotomy,Others,Open,Supine,1
Common bile duct cancer,Hepatopancreaticoduodenectomy,Biliary/Pancreas,Open,Supine,1
Rectal cancer,Distal gastrectomy,Stomach,Videoscopic,Supine,1
Atrial fibrillation,Ligation and stripping,Vascular,Open,Supine,1
Complete blood count abnormality,Lung lobectomy,Major resection,Open,Supine,1
Liver transplant status ,Hernia repair,Colorectal,Open,Supine,1
Cecal cancer,Hemicolectomy,Colorectal,Open,Supine,1
Gastric adenomatous polyp,Distal gastrectomy,Stomach,Videoscopic,Reverse Trendelenburg,1
Neurogenic tumor,Paraaortic lymph node dissection,Others,Open,Supine,1
Colon cancer,Colostomy,Colorectal,Open,Supine,1
Hepatocellular carcinoma,Liver segmentectomy,Hepatic,Open,Reverse Trendelenburg,1
Kidney transplant status,Partial pancreatectomy,Biliary/Pancreas,Open,Supine,1
Overactive bladder,Hernia repair,Colorectal,Open,Supine,1
Abnormal finding on lung imaging ,Lung sgmentectomy,Minor resection,Videoscopic,Left lateral decubitus,1
Mediastinal germ cell tumor ,Thymectomy,Others,Open,Supine,1
Solitary pulmonary nodule,Lung lobectomy,Major resection,Videoscopic,Supine,1
rectal cancer ,Lung lobectomy,Major resection,Videoscopic,Right lateral decubitus,1
"Cervical cancer, stage 2B",Hartmann procedure,Colorectal,Open,Supine,1
"Cervical cancer, stage 1A1",Extended hysterectomy,Major resection,Videoscopic,Lithotomy,1
IgA nephropathy,Kidney transplantation,Transplantation,Open,Supine,1
"Paraganglioma, malignant",Excision,Colorectal,Videoscopic,Supine,1
Lymph node enlargement,Mediastinal lymph node dissection,Others,Open,Supine,1
Early gastric cancer,Proximal gastrectomy,Stomach,Videoscopic,Supine,1
"Embolism and thrombosis, lower limb artery",Bleeding control,Others,Open,Supine,1
"Abnormal chest CT, lung nodule",Lung wedge resection,Minor resection,Videoscopic,Supine,1
Gallbladder cancer,Pylorus preserving pancreaticoduodenectomy,Biliary/Pancreas,Open,Supine,1
Acute cholecystitis,Cholecystectomy,Biliary/Pancreas,Videoscopic,Left lateral decubitus,1
Breast cancer,Biopsy,Minor resection,Videoscopic,Right lateral decubitus,1
Common bile duct cancer,Hepatic hilar resection,Hepatic,Open,Supine,1
Fibrothorax,Decortication,Others,Videoscopic,Left lateral decubitus,1
kidney disease,Regional lymph node dissection,Others,Open,Supine,1
Pancreatic pseudocyst,Pancreatic cystojejunostomy,Biliary/Pancreas,Open,Supine,1
Lung cancer left,Metastasectomy,Minor resection,Videoscopic,Left lateral decubitus,1
Myoma uteri ,Total hysterectomy ,Major resection,Open,Supine,1
Benign neoplasm of retroperitoneum,Excision,Others,Open,Supine,1
Ectopic pregnancy,Salpingectomy,Minor resection,Videoscopic,Lithotomy,1
"Colon cancer, descending",Hemicolectomy,Colorectal,Videoscopic,Trendelenburg,1
Malignant melanoma of thumb,Excision,Breast,Open,Supine,1
Mediastinal tumor ,Thymectomy,Others,Open,Supine,1
Rectal cancer ,Ultralow anterior resection,Colorectal,Open,Supine,1
"Colon cancer, descending",Extended hemicolectomy,Colorectal,Videoscopic,Lithotomy,1
Pelvic mass ,Exploratory laparotomy,Others,Open,Lithotomy,1
Liver transplant status,Lung wedge resection,Minor resection,Videoscopic,Left lateral decubitus,1
Liposarcoma,Orchiectomy,Colorectal,Open,Supine,1
Diverticulitis of large intestine with perforation and abscess without bleeding,Ileostomy repair,Colorectal,Open,Supine,1
Lung cancer left,Lung wedge resection,Minor resection,Open,Left lateral decubitus,1
Mechanical ileus,Exploratory laparotomy,Others,Open,Supine,1
Ductal carcinoma in situ of breast unspecified side,Total mastectomy,Breast,Open,Supine,1
Rectal cancer ,Hemicolectomy,Colorectal,Open,Supine,1
"Gastric submucosal tumor, benign",Gastrojejunostomy,Stomach,Videoscopic,Supine,1
Intraductal papilloma,Wide excision,Others,Open,Supine,1
Gastrointestinal stromal tumor,Total gastrectomy,Stomach,Open,Supine,1
Hematemesis,Exploratory laparotomy,Others,Open,Supine,1
"Colon cancer, descending",Hemicolectomy,Colorectal,Videoscopic,Lithotomy,1
Stab wound of abdomen,Exploratory laparotomy,Others,Open,Supine,1
"Rectocele, female",Rrectocele repair,Colorectal,Open,Prone,1
Intestinal obstruction,Exploratory laparotomy,Others,Open,Supine,1
Advanced gastric cancer,Bleeding control,Others,Open,Supine,1
Primary hyperparathyroidism ,Subtotal parathyroidectomy,Thyroid,Open,Supine,1
Multiple myeloma ,Excision,Others,Open,Supine,1
Gallbladder sludge,Cholecystectomy,Biliary/Pancreas,Videoscopic,Reverse Trendelenburg,1
Metastatic cancer to the liver,Liver segmentectomy,Hepatic,Videoscopic,Supine,1
Alcoholic hepatitis with ascites,Liver transplantation,Transplantation,Open,Supine,1
Mediastinal mass ,Thymectomy,Others,Robotic,Supine,1
Colorectal cancer,Low anterior resection,Colorectal,Videoscopic,Lithotomy,1
Squamous cell carcinoma of lung right,Lung wedge resection,Minor resection,Videoscopic,Right lateral decubitus,1
Gallstone pancreatitis,Cholecystectomy,Biliary/Pancreas,Videoscopic,Supine,1
Dedifferentiated liposarcoma,Exploratory laparotomy,Others,Open,Supine,1
Catheter related infection,Kidney transplantation,Transplantation,Open,Supine,1
Intrahepatic duct stone with obstruction,Liver sectionectomy,Hepatic,Videoscopic,Supine,1
Colostomy status,Colostomy repair,Colorectal,Open,Lithotomy,1
Ovarian cancer Unspecified side,Exploratory laparotomy,Others,Open,Lithotomy,1
Malignant mesothelioma,Exploratory laparotomy,Others,Open,Lithotomy,1
"Premature rupture of membranes, onset of labor within 24 hours early preterm (less than 34 weeks)",Cesarean section,Others,Open,Supine,1
Nontuberculous mycobacterial infection,Pneumonectomy,Major resection,Open,Right lateral decubitus,1
Anastomosis site stricture,Anterior resection,Colorectal,Open,Lithotomy,1
Colorectal cancer ,Low anterior resection,Colorectal,Videoscopic,Lithotomy,1
Disorder of kidney and ureter ,Nephrectomy,Major resection,Open,Right kidney,1
Invasive bladder cancer,Radical cystectomy,Major resection,Robotic,Lithotomy,1
"Lung sequestration, congenital",Lung lobectomy,Major resection,Videoscopic,Left lateral decubitus,1
Undifferentiated pleomorphic sarcoma of unspecified site ,Excision,Biliary/Pancreas,Open,Supine,1
Giant bullae of lung ,Bullectomy,Minor resection,Videoscopic,Left lateral decubitus,1
Autosomal dominant polycystic kidney disease,Kidney transplantation,Transplantation,Open,Supine,1
Metastatic cancer to the pleura,Excision,Others,Videoscopic,Left lateral decubitus,1
Hemoptysis ,Lung bilobectomy,Major resection,Open,Left lateral decubitus,1
Rectal cancer ,Transanal endoscopic microsurgery,Colorectal,Open,Lithotomy,1
Anal canal cancer ,Excision,Others,Open,Supine,1
Mediastinal mass ,Biopsy,Others,Videoscopic,Supine,1
Hepatocellular carcinoma ,Liver tumorectomy,Hepatic,Open,Lithotomy,1
Lymph node metastasis,Mediastinal lymph node dissection,Others,Videoscopic,Left lateral decubitus,1
"Colon cancer, transverse",Hemicolectomy,Colorectal,Videoscopic,Supine,1
Acute appendicitis with localized peritonitis,Appendectomy,Colorectal,Open,Supine,1
Colon cancer ,Segmental resection of colon,Colorectal,Open,Lithotomy,1
Islet cell adenoma,Partial pancreatectomy,Biliary/Pancreas,Open,Supine,1
Diffuse large B-cell lymphoma ,Excision,Others,Videoscopic,Supine,1
Breast disease,Wide excision,Others,Open,Supine,1
Giant bullae of lung,Bullectomy,Minor resection,Videoscopic,Left lateral decubitus,1
Costochondritis ,Wound revision,Others,Open,Supine,1
Duodenal cancer,Excision,Stomach,Open,Supine,1
Adrenal incidentaloma,Adrenalectomy,Others,Videoscopic,Right lateral decubitus,1
Lymph node metastasis,Excision,Others,Open,Supine,1
Breast cancer unspecified side,Lung wedge resection,Minor resection,Videoscopic,Right lateral decubitus,1
Surgical wound infection,Debridement of wound,Others,Open,Supine,1
Hepatocellular carcinoma ,Extended hemihepatectomy,Hepatic,Open,Supine,1
Twin pregnancy,Cesarean section,Others,Open,Lithotomy,1
Endometrial cancer unknown stage ,Pelvic tumorectomy,Major resection,Robotic,Lithotomy,1
Twin pregnancy,Modified Shirodkar operation,Others,Open,Supine,1
"Cervical cancer, stage 1A1",Pelvic tumorectomy,Major resection,Robotic,Lithotomy,1
Long QT Syndrome ,Thoracic sympathectomy,Others,Videoscopic,Supine,1
Undifferentiated pleomorphic sarcoma of lower limb,Metastasectomy,Minor resection,Videoscopic,Right lateral decubitus,1
Colon perforation,Hartmann procedure,Colorectal,Open,Supine,1
Aortic dissection thoracoabdominal aorta,Hernia repair,Colorectal,Open,Supine,1
Rectal fistula,Hartmann procedure,Colorectal,Open,Supine,1
Synovial sarcoma,Metastasectomy,Minor resection,Videoscopic,Left lateral decubitus,1
Adhesive ileus ,Adhesiolysis,Others,Open,Supine,1
Lung cancer left,Bleeding control,Others,Open,Right lateral decubitus,1
Diaphragmatic paralysis ,Plication,Others,Videoscopic,Supine,1
Malignant neoplasm of colorectum,Cecectomy,Colorectal,Open,Supine,1
"Thymoma, type AB",Excision,Others,Open,Right lateral decubitus,1
Constipation,Ultralow anterior resection,Colorectal,Open,Lithotomy,1
"Abnormal chest CT, lung nodule",Lung segmentectomy,Minor resection,Videoscopic,Right lateral decubitus,1
End stage renal disease ,Removal of permanent catheter,Vascular,Open,Supine,1
Mediastinal tumor,Thymectomy,Others,Robotic,Supine,1
Hyperoxaluria,Bleeding control,Others,Open,Supine,1
Rectal cancer ,Low anterior resection,Colorectal,Open,Supine,1
Metastatic cancer to the lung right,Exploration of wound,Others,Open,Left lateral decubitus,1
Parastomal hernia ,Hernia repair,Colorectal,Open,Supine,1
Acute cholecystitis,Cholecystectomy,Biliary/Pancreas,Open,Supine,1
Invasive bladder cancer,Transurethral resection of bladder tumor,Minor resection,Videoscopic,Lithotomy,1
"Advanced gastric cancer, adenocarcinoma",Diagnostic laparoscopy,Others,Videoscopic,Reverse Trendelenburg,1
Benign lipomatous neoplasm of other sites,Excision,Others,Open,Prone,1
"Renal transplant rejection, acute",Nephrectomy,Vascular,Open,Supine,1
Premature rupture of membrane early preterm (less than 34 weeks),Cesarean section,Others,Open,Supine,1
Rectal cancer,Adhesiolysis,Others,Open,Supine,1
Hemorrhoids,Hemorrhoidectomy,Colorectal,Open,Supine,1
"Gastrointestinal stromal tumor of small intestine, malignant",Debulking surgery,Others,Open,Lithotomy,1
Coronary atherosclerosis,Anal fistulotomy,Colorectal,Open,Prone,1
Rectal cancer,Transanal excision,Colorectal,Open,Lithotomy,1
"Colon cancer, ascending",Ileostomy,Colorectal,Open,Supine,1
"Gastrointestinal stromal tumor, malignant",Small bowel segmental resection,Stomach,Open,Supine,1
Rectal cancer,Total hysterectomy,Colorectal,Open,Lithotomy,1
rectal prolapse,Hartmann procedure,Colorectal,Open,Supine,1
Pleural effusion ,Decortication,Others,Videoscopic,Left lateral decubitus,1
Metastatic cancer to the pelvis,Ileostomy,Colorectal,Open,Supine,1
Rectal cancer,Excision,Colorectal,Open,Lithotomy,1
Colon cancer,Ultralow anterior resection,Colorectal,Open,Lithotomy,1
Bronchoesophageal fistula,Rigid bronchoscopy,Others,Videoscopic,Supine,1
Arteriovenous fistula malfunction,Closure of arteriovenous fistula,Vascular,Open,Supine,1
Acalculous cholecystitis,Cholecystectomy,Biliary/Pancreas,Videoscopic,Supine,1
"Papillary transitional cell carcinoma, non-invasive",Metastasectomy,Minor resection,Videoscopic,Left lateral decubitus,1
Hydronephrosis,Pyeloplasty,Minor resection,Robotic,Right lateral decubitus,1
Idiopathic pulmonary fibrosis,Exploration of wound,Others,Open,Supine,1
Mediastinal mass ,Excision,Others,Open,Supine,1
Rectal cancer,Exploratory laparotomy,Others,Open,Supine,1
Lymph node enlargement,Paraaortic lymph node dissection,Others,Videoscopic,Lithotomy,1
Arteriovenous graft infection,Transposition of basilic vein for arteriovenous fistula,Vascular,Open,Supine,1
"Colon cancer, sigmoid",Lung wedge resection,Minor resection,Videoscopic,Left lateral decubitus,1
Remnant stomach cancer unspecified,Distal gastrectomy,Stomach,Videoscopic,Supine,1
"Common bile duct cancer, distal",Pylorus preserving pancreaticoduodenectomy,Biliary/Pancreas,Robotic,Reverse Trendelenburg,1
"Embolism and thrombosis, lower limb artery",Embolectomy,Vascular,Open,Supine,1
Perianal abscess,Incision and drainage,Colorectal,Open,Prone,1
Radiocontrast media hypersensitivity,Exploratory laparotomy,Others,Open,Lithotomy,1
Ankylosing spondylitis site unspecified,Lung lobectomy,Major resection,Open,Right lateral decubitus,1
Adrenal Cushing syndrome ,Adrenalectomy,Others,Videoscopic,Left lateral decubitus,1
Intraductal carcinoma in situ of breast left,Breast-conserving surgery,Breast,Open,Supine,1
Ampulla of vater adenoma ,Ampullectomy,Biliary/Pancreas,Open,Supine,1
Esophageal leiomyoma,Enucleation of esophageal tumor,Others,Open,Left lateral decubitus,1
