"dx","opname","optype","approach","position","count","ml_base_category","ml_confidence_pct","Level1_magnitude","Level2_domain","Level3_approach","Level4_subtype","Level5_modifiers","Level6_secondary_variables"
"Colon cancer, descending","Hemicolectomy","Colorectal","Videoscopic","Supine","1","Colorectal","66.3","Major","Abdominal / GI","Laparoscopic","Colectomy / Bowel Resection","Malignancy | Primary | Supine","Est.Duration:2-4hr"
"Cecal cancer","Debulking surgery","Others","Open","Supine","1","Others","77.5","Major","Soft Tissue / Access / Misc","Open","Other Procedure","Malignancy | Primary | Supine","Est.Duration:2-5hr"
"Anal fistula","Fistulectomy","Colorectal","Open","Lithotomy","1","Colorectal","73.0","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Benign/Non-malignant | Primary | Lithotomy","Est.Duration:<2hr"
"Colon cancer","Hemicolectomy","Colorectal","Open","Reverse Trendelenburg","1","Colorectal","74.0","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Malignancy | Primary | Trendelenburg","Est.Duration:2-4hr"
"Atherosclerosis obliterans without gangrene","Embolectomy","Vascular","Open","Supine","1","Vascular","58.4","Major","Vascular","Open","Vascular Reconstruction","Benign/Non-malignant | Primary | Supine","Est.Duration:2-4hr"
"Esophageal cancer","Radical excision of cervical lymph nodes","Others","Open","Supine","1","Others","73.7","Major","Soft Tissue / Access / Misc","Open","Other Procedure","Malignancy | Primary | Supine","Est.Duration:1-3hr"
"thyroid nodule","Excision","Others","Open","Supine","1","CraniTumorSkullBase","71.2","Minor","Neuro / Spine","Open","Craniotomy","Benign/Non-malignant | Primary | Supine","Est.Duration:1-3hr"
"Inguinal hernia not specified as recurrent","Hernia repair","Colorectal","Open","Trendelenburg","1","Colorectal","60.1","Minor","Abdominal / GI","Open","Colectomy / Bowel Resection","Benign/Non-malignant | Revision | Trendelenburg","Est.Duration:<2hr"
"Hemoperitoneum","Exploratory laparotomy","Others","Open","Supine","1","Others","78.9","Major","Soft Tissue / Access / Misc","Open","Other Procedure","Benign/Non-malignant | Primary | Supine","Est.Duration:2-4hr"
"Malignant neoplasm of ileocecal valve","Hemicolectomy","Colorectal","Open","Supine","1","Colorectal","61.3","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Malignancy | Primary | Supine","Est.Duration:2-4hr"
"Ovarian cancer","Ileostomy repair","Colorectal","Open","Supine","1","Colorectal","74.8","Minor","Abdominal / GI","Open","Colectomy / Bowel Resection","Malignancy | Revision | Supine","Est.Duration:<2hr"
"fulminant hepatitis","Liver transplantation","Transplantation","Open","Supine","1","Transplantation","74.6","Major","Abdominal / GI","Open","Hepatobiliary / Pancreatic Resection","Benign/Non-malignant | Primary | Transplant/Reconstruction | Supine","Est.Duration:>6hr"
"Peritonei carcinomatosis","Biopsy","Others","Open","Supine","1","BiopsyBrain","66.0","Minor","Neuro / Spine","Open","Access / Drainage Procedures","Malignancy | Primary | Supine","Est.Duration:<2hr"
"Gastric submucosal tumor, unknown behavior","Lung wedge resection","Stomach","Open","Supine","1","Minor resection","64.8","Major","Thoracic","Open","Gastric Resection","Malignancy | Primary | Supine","Est.Duration:2-4hr"
"Pancreatic disease","Pancreaticoduodenectomy","Biliary/Pancreas","Open","Supine","1","Biliary/Pancreas","76.5","Major","Abdominal / GI","Open","Hepatobiliary / Pancreatic Resection","Benign/Non-malignant | Primary | Supine","Est.Duration:>6hr"
"Colorectal polyp","Hemicolectomy","Colorectal","Open","Lithotomy","1","Colorectal","70.5","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Benign/Non-malignant | Primary | Lithotomy","Est.Duration:2-4hr"
"Intestinal perforation","Anterior resection","Colorectal","Open","Lithotomy","1","Colorectal","56.4","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Benign/Non-malignant | Primary | Lithotomy","Est.Duration:1-3hr"
"Cervical cancer unknown stage","Colostomy","Colorectal","Open","Supine","1","Colorectal","63.6","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Malignancy | Primary | Supine","Est.Duration:<2hr"
"Colon cancer, sigmoid","Anterior resection","Colorectal","Videoscopic","Left lateral decubitus","1","Colorectal","72.0","Major","Abdominal / GI","Laparoscopic","Colectomy / Bowel Resection","Malignancy | Primary | Lateral Decubitus","Est.Duration:1-3hr"
"Malignant thymoma","Thymectomy","Others","Open","Supine","1","Others","66.6","Major","Soft Tissue / Access / Misc","Open","Thoracic Resection","Malignancy | Primary | Supine","Est.Duration:2-5hr"
"Lung cancer right","Lung sgmentectomy","Minor resection","Videoscopic","Right lateral decubitus","1","Minor resection","73.3","Major","Thoracic","Laparoscopic","Thoracic Resection","Malignancy | Primary | Lateral Decubitus","Est.Duration:2-4hr"
"Colon cancer","Hartmann procedure","Colorectal","Open","Supine","1","Colorectal","78.2","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Malignancy | Primary | Supine","Est.Duration:2-4hr"
"Breast cancer left","Breast-conserving surgery","Breast","Open","Right lateral decubitus","1","Breast","77.5","Major","ENT / Head & Neck","Open","Breast Surgery","Malignancy | Primary | Lateral Decubitus","Est.Duration:1-3hr"
"Obesity in diabetes","Subtotal gastrectomy","Stomach","Open","Supine","1","Stomach","63.4","Major","Abdominal / GI","Open","Gastric Resection","Benign/Non-malignant | Primary | Supine","Est.Duration:2-5hr"
"Perianal abscess","Incision and drainage","Colorectal","Open","Lithotomy","1","Others","76.7","Minor","Soft Tissue / Access / Misc","Open","Colectomy / Bowel Resection","Benign/Non-malignant | Primary | Lithotomy","Est.Duration:<2hr"
"Endometrial cancer, stage 1A","Pelvic tumorectomy","Major resection","Robotic","Lithotomy","1","Major resection","68.3","Major","Abdominal / GI","Robotic","Other Procedure","Malignancy | Primary | Lithotomy","Est.Duration:2-5hr"
"Lymphoproliferative disorder","Axillary lymph node dissection","Breast","Open","Supine","1","Breast","74.4","Major","ENT / Head & Neck","Open","Breast Surgery","Benign/Non-malignant | Primary | Supine","Est.Duration:<2hr"
"Lung cancer unspecified side","Lung wedge resection","Minor resection","Videoscopic","Left lateral decubitus","1","Minor resection","69.2","Major","Thoracic","Laparoscopic","Thoracic Resection","Malignancy | Primary | Lateral Decubitus","Est.Duration:2-4hr"
"Colon cancer","Exploratory laparotomy","Others","Open","Lithotomy","1","Others","80.7","Major","Soft Tissue / Access / Misc","Open","Other Procedure","Malignancy | Primary | Lithotomy","Est.Duration:2-4hr"
"Choledochal cyst","Liver transplantation","Transplantation","Open","Supine","1","Transplantation","76.7","Major","Abdominal / GI","Open","Hepatobiliary / Pancreatic Resection","Benign/Non-malignant | Primary | Transplant/Reconstruction | Supine","Est.Duration:>6hr"
"Intestinal fistula","Exploratory laparotomy","Others","Open","Supine","1","Others","75.9","Major","Soft Tissue / Access / Misc","Open","Other Procedure","Benign/Non-malignant | Primary | Supine","Est.Duration:2-4hr"
"End stage renal disease","Bleeding control","Vascular","Open","Supine","1","Others","68.8","Minor","Soft Tissue / Access / Misc","Open","Vascular Reconstruction","Benign/Non-malignant | Primary | Supine","Est.Duration:1-3hr"
"Pancreatic ductal carcinoma","Distal pancreatectomy","Biliary/Pancreas","Open","Supine","1","Biliary/Pancreas","70.3","Major","Abdominal / GI","Open","Hepatobiliary / Pancreatic Resection","Malignancy | Primary | Supine","Est.Duration:2-4hr"
"Rectal cancer","Hartmann procedure","Colorectal","Open","Lithotomy","1","Colorectal","77.3","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Malignancy | Primary | Lithotomy","Est.Duration:2-4hr"
"Pelvic mass","Excision","Minor resection","Videoscopic","Lithotomy","1","CraniTumorSkullBase","69.9","Minor","Neuro / Spine","Laparoscopic","Craniotomy","Benign/Non-malignant | Primary | Lithotomy","Est.Duration:1-3hr"
"Metastatic cancer to the lung right","Lung lobectomy","Major resection","Videoscopic","Left lateral decubitus","1","Major resection","62.6","Major","Thoracic","Laparoscopic","Thoracic Resection","Malignancy | Primary | Lateral Decubitus","Est.Duration:2-4hr"
"Osteoarthritis multiple site","Ileostomy repair","Colorectal","Open","Supine","1","Colorectal","66.5","Minor","Abdominal / GI","Open","Colectomy / Bowel Resection","Benign/Non-malignant | Revision | Supine","Est.Duration:<2hr"
"Neuroendocrine tumor of rectum, G1","Exploratory laparotomy","Others","Open","Lithotomy","1","Others","68.4","Major","Soft Tissue / Access / Misc","Open","Other Procedure","Malignancy | Primary | Lithotomy","Est.Duration:2-4hr"
"Common bile duct stonewithout obstruction","Choledochoscopic bile duct stone removal","Biliary/Pancreas","Videoscopic","Supine","1","Biliary/Pancreas","63.4","Major","Abdominal / GI","Laparoscopic","Hepatobiliary / Pancreatic Resection","Benign/Non-malignant | Primary | Supine","Est.Duration:<2hr"
"Giant bullae of lung","Lung wedge resection","Minor resection","Videoscopic","Left lateral decubitus","1","Minor resection","73.4","Major","Thoracic","Laparoscopic","Thoracic Resection","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:2-4hr"
"Gallbladder stonewithout obstruction","Choledochoscopic bile duct stone removal","Biliary/Pancreas","Videoscopic","Supine","1","Biliary/Pancreas","75.0","Major","Abdominal / GI","Laparoscopic","Hepatobiliary / Pancreatic Resection","Benign/Non-malignant | Primary | Supine","Est.Duration:<2hr"
"Colon cancer, rectosigmoid","Hartmann procedure","Colorectal","Open","Supine","1","Colorectal","69.3","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Malignancy | Primary | Supine","Est.Duration:2-4hr"
"Colon cancer, sigmoid","subtotal colectomy","Colorectal","Open","Supine","1","Colorectal","72.0","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Malignancy | Primary | Supine","Est.Duration:2-4hr"
"Rectovaginal fistula","Ileostomy","Colorectal","Open","Supine","1","Colorectal","70.8","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Benign/Non-malignant | Primary | Supine","Est.Duration:1-3hr"
"Abdominal compartment syndrome","Exploratory laparotomy","Others","Open","Supine","1","Others","69.6","Major","Soft Tissue / Access / Misc","Open","Other Procedure","Benign/Non-malignant | Primary | Supine","Est.Duration:2-4hr"
"Malignant neoplasm of unknown primary site","Excision","Others","Videoscopic","Left lateral decubitus","1","PituitaryTSA","61.3","Minor","Neuro / Spine","Laparoscopic","Other Procedure","Malignancy | Primary | Lateral Decubitus","Est.Duration:1-3hr"
"Thyroid nodule","Modified radical neck dissection","Others","Open","Supine","1","Others","77.9","Major","ENT / Head & Neck","Open","Thyroid / Parathyroid","Benign/Non-malignant | Primary | Supine","Est.Duration:1-3hr"
"Colorectal cancer","Metastasectomy","Minor resection","Videoscopic","Left lateral decubitus","1","Minor resection","70.8","Major","Thoracic","Laparoscopic","Other Procedure","Malignancy | Primary | Lateral Decubitus","Est.Duration:1-3hr"
"Abscess of other site","Incision and drainage","Others","Open","Supine","1","Others","73.4","Minor","Soft Tissue / Access / Misc","Open","Access / Drainage Procedures","Benign/Non-malignant | Primary | Supine","Est.Duration:<2hr"
"Hepatocellular carcinoma","Hernia repair","Colorectal","Open","Supine","1","Colorectal","65.8","Minor","Abdominal / GI","Open","Colectomy / Bowel Resection","Malignancy | Revision | Supine","Est.Duration:<2hr"
"Solitary pulmonary nodule","Biopsy","Minor resection","Videoscopic","Right lateral decubitus","1","BiopsyBrain","63.6","Minor","Neuro / Spine","Laparoscopic","Access / Drainage Procedures","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:<2hr"
"Constipation","Anterior resection","Colorectal","Videoscopic","Lithotomy","1","Colorectal","56.4","Major","Abdominal / GI","Laparoscopic","Colectomy / Bowel Resection","Benign/Non-malignant | Primary | Lithotomy","Est.Duration:1-3hr"
"Acute appendicitis","Appendectomy","Colorectal","Videoscopic","Trendelenburg","1","Colorectal","68.1","Major","Abdominal / GI","Laparoscopic","Colectomy / Bowel Resection","Benign/Non-malignant | Primary | Trendelenburg","Est.Duration:<2hr"
"Coronary atherosclerosis","Excision","Others","Open","Supine","1","CraniTumorSkullBase","67.5","Minor","Neuro / Spine","Open","Craniotomy","Benign/Non-malignant | Primary | Supine","Est.Duration:1-3hr"
"Injury of bile duct without open wound into peritoneal cavity","Bile duct anastomosis","Biliary/Pancreas","Open","Supine","1","Biliary/Pancreas","67.8","Major","Abdominal / GI","Open","Hepatobiliary / Pancreatic Resection","Benign/Non-malignant | Primary | Supine","Est.Duration:3-6hr"
"Stomach cancer early","Incisional hernia repair","Colorectal","Videoscopic","Supine","1","Colorectal","75.7","Minor","Abdominal / GI","Laparoscopic","Colectomy / Bowel Resection","Malignancy | Revision | Supine","Est.Duration:<2hr"
"Infiltrating ductal carcinoma of breast right","Metastasectomy","Minor resection","Videoscopic","Left lateral decubitus","1","Minor resection","60.1","Major","Thoracic","Laparoscopic","Other Procedure","Malignancy | Primary | Lateral Decubitus","Est.Duration:1-3hr"
"Gallbladder cancer","Radical cholecystectomy","Biliary/Pancreas","Open","Supine","1","Biliary/Pancreas","76.5","Major","Abdominal / GI","Open","Cystoscopy / TURBT","Malignancy | Primary | Supine","Est.Duration:3-6hr"
"Lymphoma","Exploration of wound","Others","Open","Supine","1","Others","56.0","Minor","Soft Tissue / Access / Misc","Open","Other Procedure","Malignancy | Primary | Supine","Est.Duration:1-3hr"
"Embolism and thrombosis, femoral artery","Arteriovenous fistula thrombectomy","Vascular","Open","Supine","1","Vascular","72.2","Major","Vascular","Open","Vascular Reconstruction","Benign/Non-malignant | Primary | Supine","Est.Duration:2-4hr"
"Pneumothorax","Bullectomy","Minor resection","Videoscopic","Right lateral decubitus","1","Minor resection","70.6","Minor","Thoracic","Laparoscopic","Other Procedure","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:<2hr"
"Early gastric cancer","Proximal gastrectomy","Stomach","Videoscopic","Reverse Trendelenburg","1","Stomach","73.4","Major","Abdominal / GI","Laparoscopic","Gastric Resection","Malignancy | Primary | Trendelenburg","Est.Duration:3-6hr"
"Early gastric cancer","Removal of foreign body","Others","Videoscopic","Supine","1","Others","75.2","Minor","Soft Tissue / Access / Misc","Laparoscopic","Access / Drainage Procedures","Malignancy | Primary | Supine","Est.Duration:<2hr"
"Cutaneous abscess of inguinal","Removal of foreign body","Others","Open","Supine","1","Others","70.6","Minor","Soft Tissue / Access / Misc","Open","Access / Drainage Procedures","Benign/Non-malignant | Primary | Supine","Est.Duration:<2hr"
"Neuroendocrine tumor of rectum, G1","Transanal excision","Colorectal","Open","Lithotomy","1","Colorectal","66.0","Minor","Abdominal / GI","Open","Colectomy / Bowel Resection","Malignancy | Primary | Lithotomy","Est.Duration:<2hr"
"Hirschsprung's disease","Ileostomy repair","Colorectal","Open","Supine","1","Colorectal","69.3","Minor","Abdominal / GI","Open","Colectomy / Bowel Resection","Benign/Non-malignant | Revision | Supine","Est.Duration:<2hr"
"Malignant neoplasm of colon, descending","Hemicolectomy","Colorectal","Open","Lithotomy","1","Colorectal","61.0","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Malignancy | Primary | Lithotomy","Est.Duration:2-4hr"
"Colon cancer, sigmoid","Excision","Others","Open","Lithotomy","1","CraniTumorSkullBase","71.5","Minor","Neuro / Spine","Open","Craniotomy","Malignancy | Primary | Lithotomy","Est.Duration:1-3hr"
"Myoma uteri","Myomectomy","Minor resection","Open","Supine","1","Minor resection","71.6","Major","Abdominal / GI","Open","Other Procedure","Benign/Non-malignant | Primary | Supine","Est.Duration:2-4hr"
"Infiltrating ductal carcinoma of breast left","Lung wedge resection","Minor resection","Videoscopic","Left lateral decubitus","1","Minor resection","64.0","Major","Thoracic","Laparoscopic","Thoracic Resection","Malignancy | Primary | Lateral Decubitus","Est.Duration:2-4hr"
